selection,sample_id,source_name,category,task_profile,chosen_candidate,predicted_score,semantic_score,calibrated_score,coverage_floor,coverage_gate_mode,coverage_gate_baseline_candidate,coverage_gate_baseline_coverage,coverage_gate_baseline_jump,coverage_gate_jump_gain,coverage_gate_loss_slack,oracle_score,quality_level,unified_loss,jump_count,trim_count,off_mask_stitch_length_mm,visible_connector_count,coverage_ratio,stitch_precision_ratio,risk_flags,risk_flag_count,risk_score,needs_review
public_low_jump,ocp_010,Openclipart,thought_bubble,low_jump,auto_evalrepair_r10_c20,-22.27725887,0.06110809,0.06268959,0.85,benefit_tradeoff,mask_fill_edgewalk_nearestrow_inset2_rows16_p40,0.996579,6.0,5.0,-0.04765725,0.0324356,excellent,0.008,1,0,0.0,0,0.688911,0.988028,low_coverage,1,0.1695445,True
public_balanced,qd_002,QuickDraw,dog,balanced,mask_fill_edgewalk_nearestrow_rows16_p40,-3.91088307,0.07715414,0.12777206,0.85,safe_coverage,mask_fill_edgewalk_nearestrow_rows16_p40,0.999636,4.0,0.0,,0.05880958,excellent,0.03337243,4,0,0.0,0,0.999636,0.530419,low_precision,1,0.16226768,True
public_balanced,omj_004,OpenMoji,fish,balanced,mask_fill_edgewalk_nearestrow_adapt_t4_m8_rows16_p40,-20.61057777,0.18135152,0.16321637,0.85,safe_coverage,mask_fill_edgewalk_nearestrow_adapt_t4_m8_rows16_p40,0.997043,3.0,0.0,,0.04876926,excellent,0.04876926,3,0,1.075,0,0.997043,0.950702,off_mask,1,0.14901926,True
public_low_jump,omj_004,OpenMoji,fish,low_jump,mask_fill_edgewalk_nearestrow_inset2_rows16_p40,-23.75780535,0.04587287,0.04128558,0.85,safe_coverage,mask_fill_edgewalk_nearestrow_inset2_rows16_p40,0.997043,3.0,0.0,,0.04876926,excellent,0.04876926,3,0,1.075,0,0.997043,0.950702,off_mask,1,0.14901926,True
public_balanced,txt_005,Rendered text,HELLO,balanced,mask_fill_edgewalk_nearestrow_safeadt_t2m5_r055_a64_rows16_p40,-5.67211061,0.14,0.16446154,0.85,safe_coverage,mask_fill_edgewalk_nearestrow_safeadt_t2m5_r055_a64_rows16_p40,1.0,4.0,0.0,,0.04897519,excellent,0.03295144,4,0,0.0,0,1.0,0.593175,low_precision,1,0.14615769,True
public_low_jump,txt_005,Rendered text,HELLO,low_jump,mask_fill_edgewalk_nearestrow_safeadt_t2m5_r055_a64_rows16_p40,-7.71291803,0.02,0.05646154,0.85,safe_coverage,mask_fill_edgewalk_nearestrow_safeadt_t2m5_r055_a64_rows16_p40,1.0,4.0,0.0,,0.04897519,excellent,0.03295144,4,0,0.0,0,1.0,0.593175,low_precision,1,0.14615769,True
public_low_jump,qd_002,QuickDraw,dog,low_jump,mask_fill_edgewalk_nearestrow_inset1_rows16_p40,-10.19652023,0.00994232,0.01728142,0.85,safe_coverage,mask_fill_edgewalk_nearestrow_inset1_rows16_p40,0.997816,4.0,0.0,,0.04827669,excellent,0.03336654,4,0,0.0,0,0.997816,0.600599,low_precision,1,0.14471679,True
public_balanced,omj_001,OpenMoji,heart,balanced,auto_hybrid_skeleton_c12,-16.54596371,0.36972533,0.35582972,0.85,safe_coverage,auto_hybrid_skeleton_c12,0.955519,0.0,0.0,,0.054,pass,0.054,0,9,0.0,0,0.955519,0.917291,high_trim,1,0.14,True
public_low_jump,omj_001,OpenMoji,heart,low_jump,auto_hybrid_skeleton_c12,-15.5442937,0.21524008,0.20910069,0.85,safe_coverage,auto_hybrid_skeleton_c12,0.955519,0.0,0.0,,0.054,pass,0.054,0,9,0.0,0,0.955519,0.917291,high_trim,1,0.14,True
incoming_balanced,pair_011a,Incoming paired review,pair_011a,balanced,mask_fill_edgewalk_rows16_p40,-8.17464045,0.1135931,0.14288713,0.85,safe_coverage,mask_fill_edgewalk_rows16_p40,0.998544,3.0,0.0,,0.04468639,excellent,0.02495959,3,0,0.0,0,0.998544,0.568488,low_precision,1,0.13833759,True
incoming_low_jump,pair_011a,Incoming paired review,pair_011a,low_jump,mask_fill_edgewalk_rows16_p40,-10.7125392,0.01636334,0.03150328,0.85,safe_coverage,mask_fill_edgewalk_rows16_p40,0.998544,3.0,0.0,,0.04468639,excellent,0.02495959,3,0,0.0,0,0.998544,0.568488,low_precision,1,0.13833759,True
public_balanced,qd_008,QuickDraw,star,balanced,mask_fill_edgewalk_nearestrow_adapt_t3_m6_rows16_p40,-15.7935672,0.05820192,0.05238173,0.85,safe_coverage,mask_fill_edgewalk_nearestrow_adapt_t3_m6_rows16_p40,0.990681,4.0,0.0,,0.03308916,excellent,0.03308916,4,0,0.0,0,0.990681,0.733626,low_precision,1,0.11118266,True
public_low_jump,qd_008,QuickDraw,star,low_jump,mask_fill_edgewalk_nearestrow_inset2_rows16_p40,-17.0471165,0.02328077,0.02095269,0.85,safe_coverage,mask_fill_edgewalk_nearestrow_inset2_rows16_p40,0.990681,4.0,0.0,,0.03308916,excellent,0.03308916,4,0,0.0,0,0.990681,0.733626,low_precision,1,0.11118266,True
public_balanced,txt_004,Rendered text,2026,balanced,mask_fill_edgewalk_nearestrow_rows16_p40,-9.89491064,0.09756396,0.11280757,0.85,safe_coverage,mask_fill_edgewalk_nearestrow_rows16_p40,1.0,3.0,0.0,,0.0246597,excellent,0.0246597,3,0,0.0,0,1.0,0.709028,low_precision,1,0.1029027,True
public_low_jump,txt_004,Rendered text,2026,low_jump,mask_fill_edgewalk_nearestrow_rows16_p40,-11.51442411,0.01393771,0.02087727,0.85,safe_coverage,mask_fill_edgewalk_nearestrow_rows16_p40,1.0,3.0,0.0,,0.0246597,excellent,0.0246597,3,0,0.0,0,1.0,0.709028,low_precision,1,0.1029027,True
public_balanced,qd_005,QuickDraw,bicycle,balanced,skeleton_c30_m4,-15.56470326,0.03893126,0.03503813,0.85,safe_coverage,skeleton_c30_m4,0.989125,2.0,0.0,,0.02216811,excellent,0.01639641,2,0,0.0,0,0.989125,0.661522,low_precision,1,0.10051591,True
public_low_jump,qd_005,QuickDraw,bicycle,low_jump,skeleton_c30_m4,-19.13697877,0.01020591,0.00918532,0.85,safe_coverage,skeleton_c30_m4,0.989125,2.0,0.0,,0.02216811,excellent,0.01639641,2,0,0.0,0,0.989125,0.661522,low_precision,1,0.10051591,True
public_balanced,txt_002,Rendered text,DST,balanced,mask_fill_edgewalk_nearestrow_rows16_p40,-11.46223328,0.08699882,0.1398374,0.85,safe_coverage,mask_fill_edgewalk_nearestrow_rows16_p40,1.0,2.0,0.0,,0.01619731,excellent,0.01619731,2,0,0.0,0,1.0,0.72495,low_precision,1,0.08445981,True
public_low_jump,txt_002,Rendered text,DST,low_jump,mask_fill_edgewalk_nearestrow_rows16_p40,-13.05064999,0.0124284,0.05733941,0.85,safe_coverage,mask_fill_edgewalk_nearestrow_rows16_p40,1.0,2.0,0.0,,0.01619731,excellent,0.01619731,2,0,0.0,0,1.0,0.72495,low_precision,1,0.08445981,True
