selection,sample_id,source_name,category,task_profile,chosen_candidate,predicted_score,semantic_score,calibrated_score,coverage_floor,coverage_gate_mode,coverage_gate_baseline_candidate,coverage_gate_baseline_coverage,coverage_gate_baseline_jump,coverage_gate_jump_gain,coverage_gate_loss_slack,oracle_score,quality_level,unified_loss,jump_count,trim_count,off_mask_stitch_length_mm,visible_connector_count,coverage_ratio,stitch_precision_ratio,risk_flags,risk_flag_count,risk_score,needs_review
public_balanced,qd_004,QuickDraw,flower,balanced,skeleton_c30_m4,-4.77810272,0.16975437,0.16111227,0.85,safe_coverage,skeleton_c30_m4,0.989997,11.0,0.0,,0.09439353,pass,0.09116553,11,0,0.0,0,0.989997,0.67848,high_jump|low_precision,2,0.27504553,True
public_balanced,qd_003,QuickDraw,fish,balanced,mask_fill_edgewalk_nearestrow_safeadt_t2m5_r055_a64_rows16_p40,4.37413745,0.14,0.20933333,0.85,safe_coverage,mask_fill_edgewalk_nearestrow_safeadt_t2m5_r055_a64_rows16_p40,1.0,6.0,0.0,,0.10774786,excellent,0.04986571,6,0,0.0,0,1.0,0.314119,low_precision,1,0.24483596,True
public_balanced,qd_006,QuickDraw,bird,balanced,mask_fill_edgewalk_nearestrow_adapt_t4_m8_rows16_p40,-7.37261068,0.05642919,0.05078627,0.85,safe_coverage,mask_fill_edgewalk_nearestrow_adapt_t4_m8_rows16_p40,0.94947,9.0,0.0,,0.08310355,excellent,0.0810433,9,1,0.0,0,0.94947,0.686265,low_precision,1,0.20497705,True
public_balanced,ocp_010,Openclipart,thought_bubble,balanced,auto_evalrepair_r10_c20,-20.24591403,0.11656434,0.12798483,0.85,benefit_tradeoff,mask_fill_edgewalk_nearestrow_adapt_t4_m8_rows16_p40,0.996579,6.0,5.0,-0.04765725,0.0324356,excellent,0.008,1,0,0.0,0,0.688911,0.988028,low_coverage,1,0.1695445,True
public_balanced,omj_008,OpenMoji,paw_prints,balanced,mask_fill_edgewalk_nearestrow_adapt_t4_m8_rows16_p40,-12.37851094,0.39934321,0.35940889,0.85,safe_coverage,mask_fill_edgewalk_nearestrow_adapt_t4_m8_rows16_p40,0.995796,10.0,0.0,,0.09494591,excellent,0.09494591,10,2,0.0,0,0.995796,0.884987,,0,0.16294591,False
public_balanced,qd_002,QuickDraw,dog,balanced,mask_fill_edgewalk_nearestrow_rows16_p40,-3.91088307,0.07715414,0.12777206,0.85,safe_coverage,mask_fill_edgewalk_nearestrow_rows16_p40,0.999636,4.0,0.0,,0.05880958,excellent,0.03337243,4,0,0.0,0,0.999636,0.530419,low_precision,1,0.16226768,True
public_balanced,ocp_001,Openclipart,flower,balanced,mask_fill_edgewalk_nearestrow_safeadt_t2m5_r055_a64_rows16_p40,-6.51856283,0.15150359,0.16635323,0.85,safe_coverage,mask_fill_edgewalk_nearestrow_safeadt_t2m5_r055_a64_rows16_p40,0.988461,10.0,0.0,,0.08927397,excellent,0.08927397,10,1,0.0,0,0.988461,0.833711,,0,0.15327397,False
public_balanced,omj_007,OpenMoji,ribbon,balanced,mask_fill_edgewalk_nearestrow_adapt_t4_m8_rows16_p40,-17.0203059,0.1892522,0.17032698,0.85,safe_coverage,mask_fill_edgewalk_nearestrow_adapt_t4_m8_rows16_p40,0.998053,10.0,0.0,,0.08920968,excellent,0.08920968,10,1,0.0,0,0.998053,0.937076,,0,0.15320968,False
public_balanced,omj_005,OpenMoji,sun,balanced,mask_fill_edgewalk_nearestrow_adapt_t4_m8_rows16_p40,-18.09710078,0.41597896,0.37438107,0.85,safe_coverage,mask_fill_edgewalk_nearestrow_adapt_t4_m8_rows16_p40,0.997342,10.0,0.0,,0.08906568,excellent,0.08906568,10,1,0.0,0,0.997342,0.947187,,0,0.15306568,False
public_balanced,omj_004,OpenMoji,fish,balanced,mask_fill_edgewalk_nearestrow_adapt_t4_m8_rows16_p40,-20.61057777,0.18135152,0.16321637,0.85,safe_coverage,mask_fill_edgewalk_nearestrow_adapt_t4_m8_rows16_p40,0.997043,3.0,0.0,,0.04876926,excellent,0.04876926,3,0,1.075,0,0.997043,0.950702,off_mask,1,0.14901926,True
