rank,lr,weight_decay,epochs,seed,accuracy,mean_train_pair_accuracy,mean_unified_loss,mean_hard_score,mean_jump_count,mean_trim_count,mean_off_mask_stitch_length_mm,mean_visible_connector_count
51,0.01,0.0,300,8,0.5,0.98876263,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
52,0.01,0.0,300,13,0.5,0.98876263,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
53,0.01,0.0,600,3,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
54,0.01,0.0,600,8,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
55,0.01,0.0,600,13,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
56,0.01,0.0,1000,3,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
57,0.01,0.0,1000,8,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
58,0.01,0.0,1000,13,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
59,0.01,0.0001,300,3,0.5,0.98876263,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
60,0.01,0.0001,300,5,0.5,0.98876263,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
61,0.01,0.0001,300,8,0.5,0.98876263,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
62,0.01,0.0001,300,13,0.5,0.98876263,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
63,0.01,0.0001,600,3,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
64,0.01,0.0001,600,8,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
65,0.01,0.0001,600,13,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
66,0.01,0.0001,1000,3,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
67,0.01,0.0001,1000,8,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
68,0.01,0.0001,1000,13,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
69,0.01,0.001,300,3,0.5,0.98876263,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
70,0.01,0.001,300,5,0.5,0.98876263,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
71,0.01,0.001,300,8,0.5,0.98876263,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
72,0.01,0.001,300,13,0.5,0.98876263,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
73,0.01,0.001,600,3,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
74,0.01,0.001,600,8,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
75,0.01,0.001,600,13,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
76,0.01,0.001,1000,3,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
