rank,lr,weight_decay,epochs,seed,accuracy,mean_train_pair_accuracy,mean_unified_loss,mean_hard_score,mean_jump_count,mean_trim_count,mean_off_mask_stitch_length_mm,mean_visible_connector_count
261,0.03,0.01,1000,1,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
262,0.03,0.01,1000,2,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
263,0.05,0.0,300,1,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
264,0.05,0.0,300,2,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
265,0.05,0.0,300,5,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
266,0.05,0.0,600,1,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
267,0.05,0.0,600,2,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
268,0.05,0.0,1000,1,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
269,0.05,0.0,1000,2,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
270,0.05,0.0001,300,1,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
271,0.05,0.0001,300,2,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
272,0.05,0.0001,300,5,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
273,0.05,0.0001,600,1,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
274,0.05,0.0001,600,2,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
275,0.05,0.0001,1000,1,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
276,0.05,0.0001,1000,2,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
277,0.05,0.001,300,1,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
278,0.05,0.001,300,2,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
279,0.05,0.001,300,5,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
280,0.05,0.001,600,1,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
281,0.05,0.001,600,2,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
282,0.05,0.001,1000,1,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
283,0.05,0.001,1000,2,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
284,0.05,0.01,300,1,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
285,0.05,0.01,300,2,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
286,0.05,0.01,600,1,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
287,0.05,0.01,600,2,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
288,0.05,0.01,1000,2,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
