sample_id,source_name,category,m2_60_candidate,m2_62_candidate,delta_unified_loss,delta_jump_count,delta_trim_count,delta_off_mask_stitch_length_mm,delta_visible_connector_count,delta_coverage_ratio,delta_stitch_precision_ratio,m2_60_risk_score,m2_62_risk_score,delta_risk_score,m2_60_flags,m2_62_flags,precision_rescue_mode,precision_gain_recorded,precision_loss_delta_recorded,precision_jump_delta_recorded
qd_001,QuickDraw,cat,mask_fill_edgewalk_nearestrow_rows16_p40,inset2,-0.00191936,1.0,0.0,-0.4714,0.0,-0.051661,0.167014,0.22770565,0.16989079,-0.05781486,low_precision,low_precision,precision_rescue,0.167014,-0.001919359999999995,1.0
qd_003,QuickDraw,fish,mask_fill_edgewalk_nearestrow_safeadt_t2m5_r055_a64_rows16_p40,adapt_t2m5,0.03999255,4.0,1.0,0.0,0.0,-0.012683,0.357672,0.20883596,0.18741051,-0.02142545,low_precision,low_precision,precision_rescue,0.35767200000000005,0.039992549999999995,4.0
