candidate,quality_level,unified_loss,jump_count,trim_count,off_mask_stitch_length_mm,visible_connector_count,coverage_ratio,stitch_precision_ratio,adaptive_coverage_ratio,adaptive_stitch_precision_ratio,overfill_outside_adaptive_ratio
public_benchmark_v1_ext33_mask_fill_edgewalk_nearestrow_qpath095_rows16_p40,pass,0.13582014,13,1,0.9669,0,0.998209,0.758905,0.995375,0.895258,0.104742
public_benchmark_v1_ext33_mask_fill_edgewalk_nearestrow_quantvalid_rows16_p40,pass,0.13582014,13,1,0.9669,0,0.998209,0.758905,0.995375,0.895258,0.104742
public_benchmark_v1_ext33_mask_fill_edgewalk_nearestrow_rows16_p40,pass,0.09693779,6,0,2.0983,0,0.998209,0.752954,0.99567,0.888501,0.111499
public_benchmark_v1_ext33_mask_fill_edgewalk_nearestrow_safeadt_rows16_p40,excellent,0.08927397,10,1,0.0,0,0.988461,0.833711,0.963214,0.961113,0.038887
public_benchmark_v1_ext33_mask_fill_edgewalk_nearestrow_safeadt_t2m5_r035_a32_rows16_p40,excellent,0.08927397,10,1,0.0,0,0.988461,0.833711,0.963214,0.961113,0.038887
public_benchmark_v1_ext33_mask_fill_edgewalk_nearestrow_safeadt_t2m5_r055_a64_rows16_p40,excellent,0.08927397,10,1,0.0,0,0.988461,0.833711,0.963214,0.961113,0.038887
public_benchmark_v1_ext33_mask_fill_edgewalk_nearestrow_segvalid_rows16_p40,pass,0.09693779,6,0,2.0983,0,0.998209,0.752954,0.99567,0.888501,0.111499
public_benchmark_v1_ext33_mask_fill_edgewalk_nearestrow_strict_p20_rows16,warning,0.18121929,17,3,0.9669,0,0.998209,0.763176,0.995249,0.900183,0.099817
public_benchmark_v1_ext33_mask_fill_edgewalk_nearestrow_strict_p40_rows16,pass,0.09693779,6,0,2.0983,0,0.998209,0.752954,0.99567,0.888501,0.111499
public_benchmark_v1_ext33_mask_fill_edgewalk_nearest_rows16_p40,hard_fail,0.519637,356,61,5.3172,0,0.998209,0.762683,0.994787,0.899183,0.100817
public_benchmark_v1_ext33_mask_fill_edgewalk_outline_ext_in2_rows16_p40,hard_fail,0.519637,364,62,5.3172,0,0.998209,0.761699,0.995838,0.898971,0.101029
public_benchmark_v1_ext33_mask_fill_edgewalk_outline_ext_in3_rows16_p40,hard_fail,0.519637,364,62,5.3172,0,0.998209,0.762538,0.994997,0.899202,0.100798
public_benchmark_v1_ext33_mask_fill_edgewalk_outline_ext_rows16_p40,hard_fail,0.519637,364,62,5.3172,0,0.998209,0.749384,0.995964,0.884549,0.115451
public_benchmark_v1_ext33_mask_fill_edgewalk_outline_rows16_p40,hard_fail,0.7,364,62,77.845,19,1.0,0.726268,1.0,0.859197,0.140803
public_benchmark_v1_ext33_mask_fill_edgewalk_rows16_p24,hard_fail,0.46950925,398,71,3.0893,0,0.998209,0.773351,0.994661,0.911645,0.088355
public_benchmark_v1_ext33_mask_fill_edgewalk_rows16_p40,hard_fail,0.519637,356,61,5.3172,0,0.998209,0.762683,0.994787,0.899183,0.100817
public_benchmark_v1_ext33_mask_fill_edgewalk_rows20_p24,hard_fail,0.43714525,333,61,1.6509,0,0.998956,0.788606,0.98743,0.92218,0.07782
public_benchmark_v1_ext33_mask_fill_edgewalk_satinrail_w10_s8_i5,hard_fail,0.519637,382,66,5.3172,0,0.998209,0.761294,0.994829,0.897584,0.102416
public_benchmark_v1_ext33_mask_fill_edgewalk_satinrail_w6_s6_i3,hard_fail,0.519637,364,62,5.3172,0,0.998209,0.762625,0.994871,0.899191,0.100809
public_benchmark_v1_ext33_mask_fill_edgewalk_satinrail_w8_s7_i4,hard_fail,0.519637,364,62,5.3172,0,0.998209,0.762393,0.994871,0.898917,0.101083
public_benchmark_v1_ext33_mask_fill_edgewalk_satin_w4_s6_i3,hard_fail,0.519637,364,62,5.3172,0,0.998209,0.762596,0.994913,0.899194,0.100806
public_benchmark_v1_ext33_mask_fill_edgewalk_satin_w6_s5_i3,hard_fail,0.519637,364,62,5.3172,0,0.998209,0.762567,0.994955,0.899198,0.100802
public_benchmark_v1_ext33_mask_fill_edgewalk_satin_w8_s7_i4,hard_fail,0.519637,364,62,5.3172,0,0.998209,0.762364,0.994871,0.898883,0.101117
public_benchmark_v1_ext33_mask_fill_edgewalk_styleaware_r008_d45,hard_fail,0.519637,356,61,5.3172,0,0.998209,0.762683,0.994787,0.899183,0.100817
public_benchmark_v1_ext33_mask_fill_nearestrow_strict_short_rows16,hard_fail,0.22668188,34,3,0.0,0,0.998209,0.772428,0.994282,0.910211,0.089789
public_benchmark_v1_ext33_mask_fill_rows12_c10,hard_fail,0.4,731,121,0.0,0,1.0,0.771261,1.0,0.912425,0.087575
public_benchmark_v1_ext33_mask_fill_rows12_c6,hard_fail,0.4,731,121,0.0,0,1.0,0.771261,1.0,0.912425,0.087575
public_benchmark_v1_ext33_mask_fill_rows16_c12_in025,hard_fail,0.64533333,432,71,9.165,2,0.998209,0.787708,0.993988,0.927941,0.072059
public_benchmark_v1_ext33_mask_fill_rows16_c12_in050,hard_fail,0.64533333,432,71,9.165,2,0.998209,0.787708,0.993988,0.927941,0.072059
public_benchmark_v1_ext33_mask_fill_rows16_c6,hard_fail,0.4,436,71,0.0,0,0.998209,0.789505,0.993988,0.930058,0.069942
public_benchmark_v1_ext33_mask_fill_rows20_c12_in050,hard_fail,0.6882,361,61,14.75,5,0.998707,0.803779,0.983436,0.936354,0.063646
