candidate,sample_id,category,unified_loss,quality_level,jump_count,trim_count,off_mask_stitch_length_mm,visible_connector_count,dst_path,target_mask_path,target_pixels,adaptive_target_pixels,stitch_pixels,overlap_pixels,off_target_pixels,adaptive_overlap_pixels,adaptive_off_target_pixels,coverage_ratio,stitch_precision_ratio,adaptive_coverage_ratio,adaptive_stitch_precision_ratio,overfill_outside_adaptive_ratio,line_radius_px,adaptive_precision_radius_px,target_width_mm
public_benchmark_v1_ext33_m2_59_grouped_topology_g_d0_c30_i070_s8_min30_p100,qd_002,dog,,,,,,,results\public_benchmark_v1_ext33_m2_59_grouped_topology_g_d0_c30_i070_s8_min30_p100\qd_002\prediction.dst,datasets\public_benchmark_v1_ext33\quickdraw_10\qd_002_mask.png,8242,12300,9810,7346,2464,9682,128,0.891289,0.748828,0.787154,0.986952,0.013048,2,2,90.0
public_benchmark_v1_ext33_m2_59_grouped_topology_g_d0_c30_i070_s8_min30_p100,qd_003,fish,,,,,,,results\public_benchmark_v1_ext33_m2_59_grouped_topology_g_d0_c30_i070_s8_min30_p100\qd_003\prediction.dst,datasets\public_benchmark_v1_ext33\quickdraw_10\qd_003_mask.png,5046,7947,7053,4628,2425,6917,136,0.917162,0.656175,0.870391,0.980717,0.019283,2,2,90.0
public_benchmark_v1_ext33_m2_59_grouped_topology_g_d0_c30_i070_s8_min30_p100,qd_004,flower,,,,,,,results\public_benchmark_v1_ext33_m2_59_grouped_topology_g_d0_c30_i070_s8_min30_p100\qd_004\prediction.dst,datasets\public_benchmark_v1_ext33\quickdraw_10\qd_004_mask.png,5898,9169,6482,4635,1847,6417,65,0.78586,0.715057,0.699858,0.989972,0.010028,2,2,90.0
public_benchmark_v1_ext33_m2_59_grouped_topology_g_d0_c30_i070_s8_min30_p100,qd_005,bicycle,,,,,,,results\public_benchmark_v1_ext33_m2_59_grouped_topology_g_d0_c30_i070_s8_min30_p100\qd_005\prediction.dst,datasets\public_benchmark_v1_ext33\quickdraw_10\qd_005_mask.png,7540,11320,8590,6152,2438,8398,192,0.815915,0.716182,0.741873,0.977648,0.022352,2,2,90.0
public_benchmark_v1_ext33_m2_59_grouped_topology_g_d0_c30_i070_s8_min30_p100,qd_006,bird,,,,,,,results\public_benchmark_v1_ext33_m2_59_grouped_topology_g_d0_c30_i070_s8_min30_p100\qd_006\prediction.dst,datasets\public_benchmark_v1_ext33\quickdraw_10\qd_006_mask.png,6036,9168,6498,4320,2178,6262,236,0.715706,0.66482,0.683028,0.963681,0.036319,2,2,90.0
public_benchmark_v1_ext33_m2_59_grouped_topology_g_d0_c30_i070_s8_min30_p100,qd_007,moon,,,,,,,results\public_benchmark_v1_ext33_m2_59_grouped_topology_g_d0_c30_i070_s8_min30_p100\qd_007\prediction.dst,datasets\public_benchmark_v1_ext33\quickdraw_10\qd_007_mask.png,8074,12913,11578,7612,3966,11392,186,0.942779,0.657454,0.882212,0.983935,0.016065,2,2,90.0
public_benchmark_v1_ext33_m2_59_grouped_topology_g_d0_c30_i070_s8_min30_p100,qd_008,star,,,,,,,results\public_benchmark_v1_ext33_m2_59_grouped_topology_g_d0_c30_i070_s8_min30_p100\qd_008\prediction.dst,datasets\public_benchmark_v1_ext33\quickdraw_10\qd_008_mask.png,5902,9332,7619,5024,2595,7403,216,0.851237,0.659404,0.793292,0.97165,0.02835,2,2,90.0
public_benchmark_v1_ext33_m2_59_grouped_topology_g_d1_c20_i075_s5_min12_p80,qd_001,cat,,,,,,,results\public_benchmark_v1_ext33_m2_59_grouped_topology_g_d1_c20_i075_s5_min12_p80\qd_001\prediction.dst,datasets\public_benchmark_v1_ext33\quickdraw_10\qd_001_mask.png,7588,11839,10029,6769,3260,9837,192,0.892066,0.674943,0.830898,0.980856,0.019144,2,2,90.0
public_benchmark_v1_ext33_m2_59_grouped_topology_g_d1_c20_i075_s5_min12_p80,qd_002,dog,,,,,,,results\public_benchmark_v1_ext33_m2_59_grouped_topology_g_d1_c20_i075_s5_min12_p80\qd_002\prediction.dst,datasets\public_benchmark_v1_ext33\quickdraw_10\qd_002_mask.png,8242,12300,10401,7776,2625,10236,165,0.94346,0.74762,0.832195,0.984136,0.015864,2,2,90.0
public_benchmark_v1_ext33_m2_59_grouped_topology_g_d1_c20_i075_s5_min12_p80,qd_003,fish,,,,,,,results\public_benchmark_v1_ext33_m2_59_grouped_topology_g_d1_c20_i075_s5_min12_p80\qd_003\prediction.dst,datasets\public_benchmark_v1_ext33\quickdraw_10\qd_003_mask.png,5046,7947,7257,4780,2477,7119,138,0.947285,0.658674,0.89581,0.980984,0.019016,2,2,90.0
