candidate,samples,mean_unified_loss,mean_jump_count,mean_trim_count,mean_off_mask_stitch_length_mm,mean_visible_connector_count,mean_coverage_ratio,mean_stitch_precision_ratio,mean_adaptive_coverage_ratio,mean_adaptive_stitch_precision_ratio,mean_overfill_outside_adaptive_ratio
public_benchmark_v1_ext33_auto_hybrid_r10_c16_trimcap20,5,0.06411448,7.6,0.2,0.0,0.0,0.6399114,0.9214244,0.5479736,0.9828138,0.0171862
public_benchmark_v1_ext33_auto_hybrid_r125_c16_trimcap20,5,0.06411448,7.6,0.2,0.0,0.0,0.6399114,0.9214244,0.5479736,0.9828138,0.0171862
public_benchmark_v1_ext33_m2_60_maskpath_mp_d0_r0_c20_i095_route32_f26_min20,5,0.045768868000000004,5.4,0.2,0.0,0.0,0.6126814,0.9140214,0.5282024,0.9808618,0.0191382
public_benchmark_v1_ext33_m2_57_topology_open_d1_c24_i070_min60,5,0.137849618,5.2,0.2,4.24462,0.8,0.4820824,0.9075604,0.41603,0.98048,0.01952
public_benchmark_v1_ext33_m2_60_maskpath_mp_d0_r0_c20_i095_route32_f26_min12,5,0.045821038,5.4,0.2,0.0,0.0,0.6485096,0.9120385999999999,0.5596164,0.9801926,0.0198074
public_benchmark_v1_ext33_m2_60_maskpath_mp_d0_r0_c24_i090_route36_f30_min12,5,0.054394228,5.0,0.2,0.5263599999999999,0.0,0.6539142,0.9102878,0.5650674,0.9794972,0.020502799999999998
public_benchmark_v1_ext33_all_skeleton_connect20_trimcap20,5,0.054173832,6.4,0.2,0.0,0.0,0.6465356,0.914435,0.5557362,0.9785855999999999,0.0214144
public_benchmark_v1_ext33_auto_hybrid_evalrepair_r10_c20_trimcap20,5,0.054173832,6.4,0.2,0.0,0.0,0.6465356,0.914435,0.5557362,0.9785855999999999,0.0214144
public_benchmark_v1_ext33_auto_hybrid_evalrepair_r10_inside085_c20_trimcap20,5,0.054173832,6.4,0.2,0.0,0.0,0.6465356,0.914435,0.5557362,0.9785855999999999,0.0214144
public_benchmark_v1_ext33_auto_hybrid_evalrepair_r10_inside090_c20_trimcap20,5,0.054173832,6.4,0.2,0.0,0.0,0.6465356,0.914435,0.5557362,0.9785855999999999,0.0214144
public_benchmark_v1_ext33_auto_hybrid_evalrepair_r15_c20_trimcap20,5,0.054173832,6.4,0.2,0.0,0.0,0.6465356,0.914435,0.5557362,0.9785855999999999,0.0214144
public_benchmark_v1_ext33_auto_hybrid_evalrepair_r15_inside090_c20_trimcap20,5,0.054173832,6.4,0.2,0.0,0.0,0.6465356,0.914435,0.5557362,0.9785855999999999,0.0214144
public_benchmark_v1_ext33_auto_hybrid_r10_c20_trimcap20,5,0.054173832,6.4,0.2,0.0,0.0,0.6465356,0.914435,0.5557362,0.9785855999999999,0.0214144
public_benchmark_v1_ext33_auto_hybrid_r125_c20_trimcap20,5,0.054173832,6.4,0.2,0.0,0.0,0.6465356,0.914435,0.5557362,0.9785855999999999,0.0214144
public_benchmark_v1_ext33_m2_56_line_stroke_d3_c18,5,0.201956518,6.4,0.2,5.91458,1.6,0.6471082,0.9143348,0.5557224,0.9776456,0.0223544
public_benchmark_v1_ext33_all_skeleton_connect30_min8_trimcap20,5,0.050247474,5.6,0.2,0.12192,0.0,0.6495006,0.9131638,0.558847,0.9776395999999999,0.0223604
public_benchmark_v1_ext33_all_skeleton_connect30_min12_trimcap20,5,0.050248094,5.6,0.2,0.12192,0.0,0.6407578,0.9122344,0.5514720000000001,0.9768958,0.0231042
public_benchmark_v1_ext33_all_skeleton_connect30_min20_trimcap20,5,0.050248094,5.6,0.2,0.12192,0.0,0.6054112,0.9127586,0.521022,0.9768156,0.0231844
public_benchmark_v1_ext33_all_skeleton_connect30_trimcap20,5,0.047504274,5.6,0.2,0.0,0.0,0.653578,0.9092330000000001,0.5638142,0.9762272,0.0237728
public_benchmark_v1_ext33_m2_60_maskpath_mp_d0_r1_c20_i095_route32_f26_min12,5,0.153821038,5.4,0.2,8.38216,0.0,0.64859,0.9072408,0.5602422,0.9760764000000001,0.0239236
public_benchmark_v1_ext33_m2_60_maskpath_mp_d0_r1_c24_i090_route36_f30_min12,5,0.156887128,5.0,0.2,8.97408,0.0,0.6539672,0.9055006,0.5656714,0.9753902,0.0246098
public_benchmark_v1_ext33_m2_61_segment_graph_sg_euler_d0_l000_c20_i095_r32_f26_min12,5,0.043775198,5.0,0.4,0.0,0.0,0.6657571999999999,0.901844,0.5782454,0.9750772,0.0249228
public_benchmark_v1_ext33_m2_61_segment_graph_sg_d0_l070_c20_i095_r32_f26_min12,5,0.056134958,6.2,0.8,0.0,0.0,0.6609232,0.9005582,0.5736352,0.9723118000000001,0.0276882
public_benchmark_v1_ext33_m2_61_segment_graph_sg_d0_l050_c24_i090_r36_f30_min12,5,0.055805838,5.4,0.8,0.28159999999999996,0.0,0.6725666,0.8935932,0.5879867999999999,0.9712498,0.0287502
public_benchmark_v1_ext33_m2_61_segment_graph_sg_euler_d0_l020_c24_i090_r36_f30_min12,5,0.055805838,5.4,0.8,0.28159999999999996,0.0,0.6725666,0.8935932,0.5879867999999999,0.9712498,0.0287502
public_benchmark_v1_ext33_m2_61_segment_graph_sg_d0_l035_c20_i095_r32_f26_min12,5,0.052805076,5.8,0.8,0.0,0.0,0.665654,0.8957516,0.5798023999999999,0.9705678,0.0294322
public_benchmark_v1_ext33_m2_61_segment_graph_sg_euler_d0_l035_c20_i095_r32_f26_min12,5,0.052805076,5.8,0.8,0.0,0.0,0.665654,0.8957516,0.5798023999999999,0.9705678,0.0294322
public_benchmark_v1_ext33_m2_59_grouped_topology_g_d0_c30_i070_s8_min30_p100,5,0.25241378,3.6,0.0,10.6686,2.6,0.6157934,0.8995318,0.5323902,0.9673326,0.0326674
public_benchmark_v1_ext33_m2_61_segment_graph_sg_d1_l050_c20_i095_r32_f26_min12,5,0.200134958,6.2,0.8,15.2376,0.0,0.6570594,0.8926834,0.5711618,0.9651354,0.0348646
public_benchmark_v1_ext33_mask_fill_edgewalk_nearestrow_adapt_t2_m5_rows16_p40,5,0.0590182,6.4,1.0,0.0,0.0,0.9885764,0.8190168,0.9224173999999999,0.9516986000000001,0.0483014
public_benchmark_v1_ext33_mask_fill_edgewalk_nearestrow_adapt_t3_m6_rows16_p40,5,0.0590182,6.4,1.0,0.0,0.0,0.9885764,0.8190168,0.9224173999999999,0.9516986000000001,0.0483014
public_benchmark_v1_ext33_mask_fill_edgewalk_nearestrow_adapt_t4_m8_rows16_p40,5,0.0590182,6.4,1.0,0.0,0.0,0.9885764,0.8190168,0.9224173999999999,0.9516986000000001,0.0483014
public_benchmark_v1_ext33_mask_fill_edgewalk_nearestrow_inset2_rows16_p40,5,0.0590182,6.4,1.0,0.0,0.0,0.9885764,0.8190168,0.9224173999999999,0.9516986000000001,0.0483014
public_benchmark_v1_ext33_mask_fill_edgewalk_nearestrow_inset1_rows16_p40,5,0.054666568000000006,5.4,0.8,0.23108,0.0,0.9883982,0.7640404,0.9571966000000001,0.9217332,0.0782668
public_benchmark_v1_ext33_mask_fill_rows16_c6,5,0.25481666599999997,95.0,4.6,0.0,0.0,0.9999786,0.736654,0.9891056,0.907705,0.092295
public_benchmark_v1_ext33_mask_fill_nearestrow_strict_short_rows16,5,0.12287267,14.6,0.4,0.0,0.0,0.9999786,0.7223738,0.989541,0.890489,0.109511
public_benchmark_v1_ext33_mask_fill_rows16_c12_in025,5,0.305675274,82.6,4.6,2.42808,0.0,0.9999786,0.7198146,0.9903632,0.8880674,0.11193260000000001
public_benchmark_v1_ext33_mask_fill_rows16_c12_in050,5,0.305675274,82.6,4.6,2.42808,0.0,0.9999786,0.7198146,0.9903632,0.8880674,0.11193260000000001
public_benchmark_v1_ext33_mask_fill_rows12_c6,5,0.300576766,153.8,9.2,0.0,0.0,1.0,0.7114034,0.9999324,0.8861635999999999,0.1138364
public_benchmark_v1_ext33_mask_fill_rows20_c12_in050,5,0.29551007,70.0,4.4,2.16,0.0,0.998078,0.7158058,0.9890648,0.8837022,0.11629779999999999
public_benchmark_v1_ext33_mask_fill_rows12_c10,5,0.296233454,138.2,9.2,0.0,0.0,1.0,0.7052412,0.9999324,0.8784848,0.1215152
public_benchmark_v1_ext33_mask_fill_edgewalk_nearestrow_strict_p20_rows16,5,0.05047027,5.8,0.4,0.0,0.0,0.9999786,0.7069248,0.9906546,0.8724084,0.1275916
public_benchmark_v1_ext33_mask_fill_edgewalk_nearestrow_qdirect_rows16_p40,5,0.043770116,5.0,0.4,0.0,0.0,0.9999786,0.706529,0.9908952,0.87214,0.12786
public_benchmark_v1_ext33_mask_fill_edgewalk_nearestrow_qpath090_rows16_p40,5,0.043770116,5.0,0.4,0.0,0.0,0.9999786,0.706529,0.9908952,0.87214,0.12786
public_benchmark_v1_ext33_mask_fill_edgewalk_nearestrow_qpath095_rows16_p40,5,0.043770116,5.0,0.4,0.0,0.0,0.9999786,0.706529,0.9908952,0.87214,0.12786
public_benchmark_v1_ext33_mask_fill_edgewalk_nearestrow_quantvalid_rows16_p40,5,0.043770116,5.0,0.4,0.0,0.0,0.9999786,0.706529,0.9908952,0.87214,0.12786
public_benchmark_v1_ext33_mask_fill_edgewalk_nearestrow_rows16_p40,5,0.043770116,5.0,0.4,0.0,0.0,0.9999786,0.706529,0.9908952,0.87214,0.12786
public_benchmark_v1_ext33_mask_fill_edgewalk_nearestrow_segvalid_rows16_p40,5,0.043770116,5.0,0.4,0.0,0.0,0.9999786,0.706529,0.9908952,0.87214,0.12786
public_benchmark_v1_ext33_mask_fill_edgewalk_nearestrow_strict_p40_rows16,5,0.043770116,5.0,0.4,0.0,0.0,0.9999786,0.706529,0.9908952,0.87214,0.12786
public_benchmark_v1_ext33_mask_fill_edgewalk_rows16_p24,5,0.23985923,40.6,4.6,0.10606,0.0,0.9999786,0.6835984,0.9924604,0.8451844000000001,0.1548156
public_benchmark_v1_ext33_mask_fill_edgewalk_styleaware_r008_d45,5,0.147563252,23.2,3.8,0.22627999999999998,0.0,0.9274358,0.7003846,0.9051612,0.8451492,0.1548508
public_benchmark_v1_ext33_mask_fill_edgewalk_rows20_p24,5,0.23424494599999998,35.6,4.4,0.11313999999999999,0.0,0.9981208,0.6781452,0.9925914,0.840162,0.159838
public_benchmark_v1_ext33_mask_fill_edgewalk_rows16_p40,5,0.15591317000000002,24.2,3.8,0.22627999999999998,0.0,0.9999786,0.666749,0.9925722,0.8244316,0.1755684
public_benchmark_v1_ext33_mask_fill_edgewalk_nearest_rows16_p40,5,0.155863594,24.2,3.8,0.22627999999999998,0.0,0.9999786,0.6647064,0.993249,0.8224736,0.1775264
public_benchmark_v1_ext33_mask_fill_edgewalk_dtsatin_o3_i8_s14_p90,5,0.157537002,26.8,4.2,0.22627999999999998,0.0,0.9999786,0.6632074,0.9942846,0.8215168,0.1784832
public_benchmark_v1_ext33_mask_fill_edgewalk_dtsatin_o3_i9_s7,5,0.167213252,28.2,4.4,0.22627999999999998,0.0,0.9999786,0.6631498,0.9940652,0.8212592,0.1787408
public_benchmark_v1_ext33_mask_fill_edgewalk_satinrail_w10_s8_i5,5,0.15751965,26.8,4.2,0.22627999999999998,0.0,0.9999786,0.663018,0.9940314,0.8210592,0.1789408
public_benchmark_v1_ext33_mask_fill_edgewalk_satinrail_w8_s7_i4,5,0.157526546,26.8,4.2,0.22627999999999998,0.0,0.9999786,0.6625888,0.9943234,0.820775,0.179225
public_benchmark_v1_ext33_mask_fill_edgewalk_outline_ext_in3_rows16_p40,5,0.16723300800000002,28.2,4.4,0.22627999999999998,0.0,1.0,0.661867,0.9952516,0.8206514,0.1793486
public_benchmark_v1_ext33_mask_fill_edgewalk_satinrail_w6_s6_i3,5,0.159069952,27.8,4.4,0.22627999999999998,0.0,0.9999786,0.6616052,0.9954286,0.8204846,0.1795154
public_benchmark_v1_ext33_mask_fill_edgewalk_outline_ext_in2_rows16_p40,5,0.167238504,28.2,4.4,0.22627999999999998,0.0,1.0,0.6589224,0.9994018,0.8204708000000001,0.1795292
public_benchmark_v1_ext33_mask_fill_edgewalk_satin_w6_s5_i3,5,0.159083538,27.8,4.4,0.22627999999999998,0.0,1.0,0.6611148,0.9960148,0.8203496,0.1796504
public_benchmark_v1_ext33_mask_fill_edgewalk_satin_w4_s6_i3,5,0.159066774,27.8,4.4,0.22627999999999998,0.0,1.0,0.6609376,0.9957212,0.8198914,0.1801086
public_benchmark_v1_ext33_mask_fill_edgewalk_satin_w8_s7_i4,5,0.15752576799999998,26.6,4.2,0.22627999999999998,0.0,0.9999786,0.6616106,0.9943926,0.8196222,0.1803778
public_benchmark_v1_ext33_mask_fill_edgewalk_outline_rows16_p40,5,0.156139384,26.2,4.0,0.22627999999999998,0.0,1.0,0.6391788,0.9999782,0.7963,0.2037
public_benchmark_v1_ext33_mask_fill_edgewalk_outline_ext_rows16_p40,5,0.156139384,26.2,4.0,0.22627999999999998,0.0,1.0,0.6388124000000001,0.9999782,0.7958424,0.2041576
public_benchmark_v1_ext33_m2_57_topology_open_d0_c30_i070_min100,5,0.027559570000000002,3.2,0.2,0.0,0.0,0.20384739999999998,0.7664181999999999,0.171153,0.79547,0.00453
public_benchmark_v1_ext33_m2_57_topology_open_d0_c30_i070_min80,5,0.099367194,5.0,0.4,1.8884400000000001,0.4,0.366656,0.7481238,0.3110122,0.789053,0.010947
public_benchmark_v1_ext33_m2_57_topology_open_d1_c30_i065_min80,5,0.118973224,4.8,0.4,2.54846,0.6,0.36672,0.7465142,0.3113336,0.7879798,0.0120202
public_benchmark_v1_ext33_mask_fill_edgewalk_nearestrow_safeadt_rows16_p40,5,0.029331234,3.0,0.0,0.21000000000000002,0.0,1.0,0.5919866,1.0,0.7375546,0.2624454
public_benchmark_v1_ext33_mask_fill_edgewalk_nearestrow_safeadt_t2m5_r035_a32_rows16_p40,5,0.029331234,3.0,0.0,0.21000000000000002,0.0,1.0,0.5919866,1.0,0.7375546,0.2624454
public_benchmark_v1_ext33_mask_fill_edgewalk_nearestrow_safeadt_t2m5_r055_a64_rows16_p40,5,0.029331234,3.0,0.0,0.21000000000000002,0.0,1.0,0.5919866,1.0,0.7375546,0.2624454
public_benchmark_v1_ext33_mask_fill_edgewalk_nearestrow_evalfill_rows16_p40,5,0.055103052,4.8,0.4,0.5839799999999999,0.0,1.0,0.5339672,1.0,0.6652904,0.3347096
